method_left,method_right,k,mean_jaccard
tfidf,dense,1,0.7568681318681318
tfidf,dense,3,0.676510989010989
tfidf,dense,5,0.4636806645735217
tfidf,dense,10,0.3777184693984612
tfidf,bm25,1,0.875
tfidf,bm25,3,0.781043956043956
tfidf,bm25,5,0.6096884266527124
tfidf,bm25,10,0.5558506058869666
dense,bm25,1,0.7774725274725275
dense,bm25,3,0.6946428571428571
dense,bm25,5,0.4925595238095238
dense,bm25,10,0.42138145708723734
