,0,1,2,3,4,7,11,21,42,100
0,1.000000,0.976336,0.979463,0.977919,0.977514,0.977029,0.976303,0.976659,0.975910,0.978810
1,0.976336,1.000000,0.979496,0.972877,0.982186,0.978510,0.977323,0.981078,0.976342,0.980812
2,0.979463,0.979496,1.000000,0.975283,0.978028,0.978878,0.975804,0.977813,0.978525,0.975998
3,0.977919,0.972877,0.975283,1.000000,0.978563,0.977494,0.976977,0.973932,0.970549,0.977703
4,0.977514,0.982186,0.978028,0.978563,1.000000,0.979945,0.977695,0.977721,0.978308,0.979892
7,0.977029,0.978510,0.978878,0.977494,0.979945,1.000000,0.977107,0.977291,0.980946,0.980365
11,0.976303,0.977323,0.975804,0.976977,0.977695,0.977107,1.000000,0.976616,0.976882,0.977935
21,0.976659,0.981078,0.977813,0.973932,0.977721,0.977291,0.976616,1.000000,0.975198,0.977363
42,0.975910,0.976342,0.978525,0.970549,0.978308,0.980946,0.976882,0.975198,1.000000,0.972694
100,0.978810,0.980812,0.975998,0.977703,0.979892,0.980365,0.977935,0.977363,0.972694,1.000000
