,0,1,2,3,4,7,11,21,42,100
0,1.000000,0.856486,0.879676,0.874380,0.864559,0.865308,0.869556,0.869826,0.860848,0.883303
1,0.856486,1.000000,0.877081,0.851717,0.892599,0.871807,0.866974,0.891113,0.850145,0.884797
2,0.879676,0.877081,1.000000,0.860992,0.867032,0.876703,0.859563,0.873855,0.868246,0.865855
3,0.874380,0.851717,0.860992,1.000000,0.881595,0.871418,0.868205,0.854348,0.827025,0.876208
4,0.864559,0.892599,0.867032,0.881595,1.000000,0.876521,0.863413,0.869533,0.864705,0.887090
7,0.865308,0.871807,0.876703,0.871418,0.876521,1.000000,0.865004,0.869417,0.885017,0.887643
11,0.869556,0.866974,0.859563,0.868205,0.863413,0.865004,1.000000,0.869545,0.862180,0.869732
21,0.869826,0.891113,0.873855,0.854348,0.869533,0.869417,0.869545,1.000000,0.854373,0.876580
42,0.860848,0.850145,0.868246,0.827025,0.864705,0.885017,0.862180,0.854373,1.000000,0.841330
100,0.883303,0.884797,0.865855,0.876208,0.887090,0.887643,0.869732,0.876580,0.841330,1.000000
