method,queries_count,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,mrr,map,lrap
tfidf,727,0.701513,0.586887,0.375241,0.198487,0.234296,0.588262,0.626777,0.662999,0.789453,0.595509,0.595509
dense,727,0.691884,0.564878,0.370289,0.203301,0.231316,0.566254,0.618524,0.679046,0.782324,0.588272,0.588272
bm25,728,0.7266483516483516,0.6236263736263736,0.39780219780219783,0.2111263736263736,0.3324175824175824,0.834478021978022,0.8912545787545788,0.9505494505494505,0.8150079583115298,0.7771138583638584,0.7771138583638584
openai_dense,728,0.6634615384615384,0.5114468864468864,0.33186813186813185,0.18324175824175826,0.22184065934065933,0.5128205128205128,0.5544871794871795,0.6121794871794872,0.7402238138845282,0.697336691086691,0.697336691086691
